bin,mean,sem,count,signed_dist_m
"(-315, -285]",0.10625809774245136,0.003342003647749475,2000,-300.0
"(-165, -135]",0.11502493565320038,0.0031629002119087923,2000,-150.0
"(-105, -75]",0.11760498442873359,0.0031325830736813136,2000,-90.0
"(-75, -45]",0.12173823716375046,0.0030774291144706535,2000,-60.0
"(-45, -15]",0.11639761752422782,0.0029783755860856007,2000,-30.0
"(-15, 15]",0.08943778675619979,0.0022898651268659876,2000,0.0
"(15, 45]",0.12374961772956886,0.0027217608500257236,2000,30.0
"(45, 75]",0.13429568976035808,0.0028572373554233495,2000,60.0
"(75, 105]",0.12949867796746548,0.0029288345840612685,2000,90.0
"(135, 165]",0.12299632745934651,0.003061385466694213,2000,150.0
"(285, 315]",0.11166060939058661,0.0033038788522315094,2000,300.0
