date,status,n_smoke_polys_aoi,vineyard_ha_under_smoke,max_density
2019-10-23,no_overlap,0,0.0,
2019-10-24,ok,8,8696.12,Heavy
2019-10-25,ok,8,8813.21,Heavy
2019-10-26,ok,5,8813.21,Heavy
2019-10-27,ok,9,8813.21,Heavy
2019-10-28,ok,17,8813.21,Heavy
2019-10-29,ok,10,8813.21,Heavy
2019-10-30,ok,8,8813.21,Heavy
2019-10-31,ok,1,1746.38,Light
2019-11-01,no_overlap,0,0.0,
2019-11-02,no_overlap,0,0.0,
2019-11-03,no_overlap,0,0.0,
2019-11-04,no_overlap,0,0.0,
2019-11-05,ok,1,5779.83,Light
2019-11-06,no_overlap,0,0.0,
2019-11-07,no_overlap,0,0.0,
2019-11-08,no_overlap,0,0.0,
2019-11-09,no_overlap,0,0.0,
2019-11-10,no_overlap,0,0.0,
